id,href,name,image,alias
0,/wiki/Peter_Parker_(Earth-616),Peter Parker,https://static.wikia.nocookie.net/marveldatabase/images/d/da/Amazing_Spider-Man_Vol_5_15_Textless.jpg,Spider-Man
1,/wiki/Steven_Rogers_(Earth-616),Steven Rogers,https://static.wikia.nocookie.net/marveldatabase/images/8/88/Captain_America_Vol_9_1_Hughes_Virgin_Variant.jpg,Captain America
2,/wiki/Anthony_Stark_(Earth-616),Anthony Stark,https://static.wikia.nocookie.net/marveldatabase/images/3/30/Invincible_Iron_Man_Vol_5_9_Barends_Variant_Textless.jpg,Iron Man
3,/wiki/James_Howlett_(Earth-616),James Howlett,https://static.wikia.nocookie.net/marveldatabase/images/1/16/James_Howlett_%28Earth-616%29_from_Wolverine_Vol_7_1_Silva_Variant_cover_001.jpg,Wolverine
4,/wiki/Thor_Odinson_(Earth-616),Thor Odinson,https://static.wikia.nocookie.net/marveldatabase/images/7/75/Thor_Vol_6_19_Asrar_Variant_Textless.jpg,
5,/wiki/Benjamin_Grimm_(Earth-616),Benjamin Grimm,https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg,The Thing
6,/wiki/Bruce_Banner_(Earth-616),Bruce Banner,https://static.wikia.nocookie.net/marveldatabase/images/b/b8/Incredible_Hulk_Vol_4_7_Textless.jpg,Hulk
7,/wiki/Scott_Summers_(Earth-616),Scott Summers,https://static.wikia.nocookie.net/marveldatabase/images/5/55/X-Men_Vol_6_28_Cyclops_Virgin_Variant.jpg,Cyclops
8,/wiki/Reed_Richards_(Earth-616),Reed Richards,https://static.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg,Mister Fantastic
9,/wiki/Jonathan_Storm_(Earth-616),Jonathan Storm,https://static.wikia.nocookie.net/marveldatabase/images/8/88/Fantastic_Four_Vol_6_1_Human_Torch_Variant_Textless.jpg,Human Torch
10,/wiki/Henry_McCoy_(Earth-616),Henry McCoy,https://static.wikia.nocookie.net/marveldatabase/images/2/20/Henry_McCoy_%28Earth-616%29_from_Immortal_X-Men_Vol_1_1_001.jpg,Beast
