id,parent,child
00000,New Fantastic Four (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00001,Avengers (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00002,X-Men (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00003,Fantastic Four (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00004,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00005,Secret Defenders (Earth-616)/Members,/wiki/Peter_Parker_(Earth-616)
00006,Mutates,/wiki/Peter_Parker_(Earth-616)
00007,Stan Lee/Creator,/wiki/Peter_Parker_(Earth-616)
00008,Steve Ditko/Creator,/wiki/Peter_Parker_(Earth-616)
00009,Formerly Deceased,/wiki/Peter_Parker_(Earth-616)
00010,Americans,/wiki/Peter_Parker_(Earth-616)
00011,Wallcrawling,/wiki/Peter_Parker_(Earth-616)
00012,Zoopathy,/wiki/Peter_Parker_(Earth-616)
00013,Night Vision,/wiki/Peter_Parker_(Earth-616)
00014,Captain Universe,/wiki/Peter_Parker_(Earth-616)
00015,Web-Slinging,/wiki/Peter_Parker_(Earth-616)
00016,Leaping,/wiki/Peter_Parker_(Earth-616)
00017,Symbiotes-possessed,/wiki/Peter_Parker_(Earth-616)
00018,Empire State University Student,/wiki/Peter_Parker_(Earth-616)
00019,Armor Users,/wiki/Peter_Parker_(Earth-616)
00020,Gamma Ray Exposure,/wiki/Peter_Parker_(Earth-616)
00021,Magicians,/wiki/Peter_Parker_(Earth-616)
00022,Avengers (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00023,Illuminati (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00024,Invaders (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00025,Secret Avengers (Black Ops Unit) (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00026,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00027,Secret Defenders (Earth-616)/Members,/wiki/Steven_Rogers_(Earth-616)
00028,Super-Soldiers,/wiki/Steven_Rogers_(Earth-616)
00029,Mutates,/wiki/Steven_Rogers_(Earth-616)
00030,Jack Kirby/Creator,/wiki/Steven_Rogers_(Earth-616)
00031,Formerly Deceased,/wiki/Steven_Rogers_(Earth-616)
00032,Americans,/wiki/Steven_Rogers_(Earth-616)
00033,Worthy of Mjolnir,/wiki/Steven_Rogers_(Earth-616)
00034,Ebony Blade User,/wiki/Steven_Rogers_(Earth-616)
00035,Symbiotes-possessed,/wiki/Steven_Rogers_(Earth-616)
00036,Phoenix Force,/wiki/Steven_Rogers_(Earth-616)
00037,Avengers (Earth-616)/Members,/wiki/Anthony_Stark_(Earth-616)
00038,Illuminati (Earth-616)/Members,/wiki/Anthony_Stark_(Earth-616)
00039,Guardians of the Galaxy (Earth-616)/Members,/wiki/Anthony_Stark_(Earth-616)
00040,Avengers West Coast (Earth-616)/Members,/wiki/Anthony_Stark_(Earth-616)
00041,Stan Lee/Creator,/wiki/Anthony_Stark_(Earth-616)
00042,Jack Kirby/Creator,/wiki/Anthony_Stark_(Earth-616)
00043,Formerly Deceased,/wiki/Anthony_Stark_(Earth-616)
00044,Americans,/wiki/Anthony_Stark_(Earth-616)
00045,Armor Users,/wiki/Anthony_Stark_(Earth-616)
00046,Concussive Blasts,/wiki/Anthony_Stark_(Earth-616)
00047,Flight,/wiki/Anthony_Stark_(Earth-616)
00048,Plasma Generation,/wiki/Anthony_Stark_(Earth-616)
00049,Symbiotes-possessed,/wiki/Anthony_Stark_(Earth-616)
00050,Power Cosmic,/wiki/Anthony_Stark_(Earth-616)
00051,X-Force (Strike Team) (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00052,New Fantastic Four (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00053,X-Men (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00054,Avengers (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00055,Secret Defenders (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00056,Alpha Flight (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00057,Weapon X (Earth-616)/Members,/wiki/James_Howlett_(Earth-616)
00058,Mutants (Homo superior),/wiki/James_Howlett_(Earth-616)
00059,Formerly Deceased,/wiki/James_Howlett_(Earth-616)
00060,Canadians,/wiki/James_Howlett_(Earth-616)
00061,Mercenaries,/wiki/James_Howlett_(Earth-616)
00062,Telepathic Immunity,/wiki/James_Howlett_(Earth-616)
00063,Superhuman Smelling,/wiki/James_Howlett_(Earth-616)
00064,Chi Manipulation,/wiki/James_Howlett_(Earth-616)
00065,Night Vision,/wiki/James_Howlett_(Earth-616)
00066,Trackers,/wiki/James_Howlett_(Earth-616)
00067,Symbiotes-possessed,/wiki/James_Howlett_(Earth-616)
00068,Phoenix Force,/wiki/James_Howlett_(Earth-616)
00069,Avengers (Earth-616)/Members,/wiki/Thor_Odinson_(Earth-616)
00070,Heralds of Galactus (Earth-616)/Members,/wiki/Thor_Odinson_(Earth-616)
00071,Council of Godheads (Earth-616)/Members,/wiki/Thor_Odinson_(Earth-616)
00072,Thor Corps (Earth-616)/Members,/wiki/Thor_Odinson_(Earth-616)
00073,Gamma Ray Exposure,/wiki/Thor_Odinson_(Earth-616)
00074,Mutates,/wiki/Thor_Odinson_(Earth-616)
00075,Stan Lee/Creator,/wiki/Thor_Odinson_(Earth-616)
00076,Jack Kirby/Creator,/wiki/Thor_Odinson_(Earth-616)
00077,Formerly Deceased,/wiki/Thor_Odinson_(Earth-616)
00078,Worthy of Mjolnir,/wiki/Thor_Odinson_(Earth-616)
00079,Atmokinesis,/wiki/Thor_Odinson_(Earth-616)
00080,Force Field,/wiki/Thor_Odinson_(Earth-616)
00081,Magicians,/wiki/Thor_Odinson_(Earth-616)
00082,Flight,/wiki/Thor_Odinson_(Earth-616)
00083,Wind Breath,/wiki/Thor_Odinson_(Earth-616)
00084,Symbiotes-possessed,/wiki/Thor_Odinson_(Earth-616)
00085,Power Cosmic,/wiki/Thor_Odinson_(Earth-616)
00086,Fantastic Four (Earth-616)/Members,/wiki/Benjamin_Grimm_(Earth-616)
00087,Avengers West Coast (Earth-616)/Members,/wiki/Benjamin_Grimm_(Earth-616)
00088,Guardians of the Galaxy (Earth-616)/Members,/wiki/Benjamin_Grimm_(Earth-616)
00089,Mutates,/wiki/Benjamin_Grimm_(Earth-616)
00090,Stan Lee/Creator,/wiki/Benjamin_Grimm_(Earth-616)
00091,Jack Kirby/Creator,/wiki/Benjamin_Grimm_(Earth-616)
00092,Formerly Deceased,/wiki/Benjamin_Grimm_(Earth-616)
00093,Americans,/wiki/Benjamin_Grimm_(Earth-616)
00094,Wind Breath,/wiki/Benjamin_Grimm_(Earth-616)
00095,Symbiotes-possessed,/wiki/Benjamin_Grimm_(Earth-616)
00096,Power Cosmic,/wiki/Benjamin_Grimm_(Earth-616)
00097,Energy Absorption,/wiki/Benjamin_Grimm_(Earth-616)
00098,Telekinesis,/wiki/Benjamin_Grimm_(Earth-616)
00099,Bulletproof,/wiki/Benjamin_Grimm_(Earth-616)
00100,Illuminati (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00101,Avengers (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00102,Secret Avengers (S.H.I.E.L.D.) (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00103,Defenders (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00104,New Fantastic Four (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00105,Secret Defenders (Earth-616)/Members,/wiki/Bruce_Banner_(Earth-616)
00106,Gamma Ray Exposure,/wiki/Bruce_Banner_(Earth-616)
00107,Mutates,/wiki/Bruce_Banner_(Earth-616)
00108,Stan Lee/Creator,/wiki/Bruce_Banner_(Earth-616)
00109,Jack Kirby/Creator,/wiki/Bruce_Banner_(Earth-616)
00110,Formerly Deceased,/wiki/Bruce_Banner_(Earth-616)
00111,Americans,/wiki/Bruce_Banner_(Earth-616)
00112,Leaping,/wiki/Bruce_Banner_(Earth-616)
00113,Telepathic Immunity,/wiki/Bruce_Banner_(Earth-616)
00114,Energy Absorption,/wiki/Bruce_Banner_(Earth-616)
00115,Optic Blasts,/wiki/Bruce_Banner_(Earth-616)
00116,Bulletproof,/wiki/Bruce_Banner_(Earth-616)
00117,Wind Breath,/wiki/Bruce_Banner_(Earth-616)
00118,Shapeshifters,/wiki/Bruce_Banner_(Earth-616)
00119,Symbiotes-possessed,/wiki/Bruce_Banner_(Earth-616)
00120,Captain Universe,/wiki/Bruce_Banner_(Earth-616)
00121,Champions (Earth-616)/Members,/wiki/Scott_Summers_(Earth-616)
00122,X-Men (Earth-616)/Members,/wiki/Scott_Summers_(Earth-616)
00123,X-Force (Strike Team) (Earth-616)/Members,/wiki/Scott_Summers_(Earth-616)
00124,Mutants (Homo superior),/wiki/Scott_Summers_(Earth-616)
00125,Stan Lee/Creator,/wiki/Scott_Summers_(Earth-616)
00126,Jack Kirby/Creator,/wiki/Scott_Summers_(Earth-616)
00127,Formerly Deceased,/wiki/Scott_Summers_(Earth-616)
00128,Americans,/wiki/Scott_Summers_(Earth-616)
